단어(0) : 		품사 :  SW 
단어(4602) : 가야		품사 : NNP 
단어(4603) : 주심		품사 : NNG 
단어(4604) : 뒤꼭지		품사 : NNG 
단어(4605) : 千葉		품사 : SH 
단어(4606) : 우월감		품사 : NNG 
단어(4607) : 슬라브족		품사 : NNP 
단어(4608) : 주식		품사 : NNG 
단어(4609) : 남양정밀		품사 : NNP 
단어(4610) : 주시		품사 : NNG 
단어(4611) : 은행장		품사 : NNG 
단어(4612) : 사울교육문화회관		품사 : NNP 
단어(4613) : 순임이		품사 : NNP 
단어(4614) : 강신		품사 : NNG 
단어(4615) : 격동기		품사 : NNG 
단어(4616) : 항성		품사 : NNG 
단어(4617) : 外信		품사 : SH 
단어(4618) : 최지영		품사 : NNP 
단어(4619) : 면앙정		품사 : NNP 
단어(4620) : 假想		품사 : SH 
단어(4621) : 헛되		품사 : VA 
단어(4622) : 뒤적이		품사 : VV 
단어(4623) : 그러잖아도		품사 : MAJ 
단어(4624) : 박람회		품사 : NNG 
단어(4625) : 對西方		품사 : SH 
단어(4626) : 停年		품사 : SH 
단어(4627) : 세도		품사 : NNG 
단어(4628) : 신청자		품사 : NNG 
단어(4629) : Factor		품사 : SL 
단어(4630) : 진숙냉		품사 : NNG 
단어(4631) : 지구상		품사 : NNG 
단어(4632) : 본란		품사 : NNG 
단어(4633) : 數値		품사 : SH 
단어(4634) : 피이		품사 : IC 
단어(4635) : 타이틀		품사 : NNG 
단어(4636) : 항소		품사 : NNG 
단어(4637) : 중산		품사 : NNG 
단어(4638) : 해산		품사 : NNG 
단어(4639) : 삽시		품사 : NNG 
단어(4640) : 道具的		품사 : SH 
단어(4641) : 삼십		품사 : NR 
단어(4642) : 플라타너스		품사 : NNG 
단어(4643) : 함수		품사 : NNG 
단어(4644) : 민호		품사 : NNP 
단어(4645) : 방탄		품사 : NNG 
단어(4646) : 청탁		품사 : NNG 
단어(4647) : 햇빛		품사 : NNG 
단어(4648) : 삼실		품사 : NNG 
단어(4649) : 코커스		품사 : NNG 
단어(4650) : 신낙균		품사 : NNP 
단어(4651) : 본래		품사 : NNG 
단어(4652) : 압둘		품사 : NNP 
단어(4653) : 삼신		품사 : NNG 
단어(4654) : 신청인		품사 : NNG 
단어(4655) : 잠언집		품사 : NNG 
단어(4656) : 게든		품사 : EC 
단어(4657) : 방택		품사 : NNG 
단어(4658) : 가에		품사 : NNP 
단어(4659) : 간암		품사 : NNG 
단어(4660) : 중상		품사 : NNG 
단어(4661) : 필요		품사 : NNG 
단어(4662) : 사타구니		품사 : NNG 
단어(4663) : 首肯		품사 : SH 
단어(4664) : 位置		품사 : SH 
단어(4665) : 포르말린		품사 : NNG 
단어(4666) : 계급		품사 : NNG 
단어(4667) : 强硬論		품사 : SH 
단어(4668) : 계금		품사 : NNG 
단어(4669) : 해삼		품사 : NNG 
단어(4670) : 구암동		품사 : NNP 
단어(4671) : 피임		품사 : NNG 
단어(4672) : 젓가락		품사 : NNG 
단어(4673) : 해상		품사 : NNG 
단어(4674) : 길거리		품사 : NNG 
단어(4675) : 私學		품사 : SH 
단어(4676) : 개항기		품사 : NNG 
단어(4677) : 가열		품사 : NNG 
단어(4678) : 형국		품사 : NNG 
단어(4679) : 양국		품사 : NNG 
단어(4680) : 거론		품사 : NNG 
단어(4681) : 주가노프		품사 : NNP 
단어(4682) : 서랍		품사 : NNG 
단어(4683) : 반팔		품사 : NNG 
단어(4684) : 形式規格		품사 : SH 
단어(4685) : 가엾		품사 : VA 
단어(4686) : 設床		품사 : SH 
단어(4687) : 천판		품사 : NNG 
단어(4688) : 도피		품사 : NNG 
단어(4689) : 갑오년		품사 : NNG 
단어(4690) : 초연		품사 : XR NNG 
단어(4691) : 나라		품사 : NNG 
단어(4692) : 내국인		품사 : NNG 
단어(4693) : 나락		품사 : NNG 
단어(4694) : 용인대		품사 : NNP 
단어(4695) : 중생		품사 : NNG 
단어(4696) : 지원금		품사 : NNG 
단어(4697) : 증권사		품사 : NNG 
단어(4698) : 계기		품사 : NNG 
단어(4699) : 토란		품사 : NNG 
단어(4700) : 描寫敍述		품사 : SH 
단어(4701) : 색소		품사 : NNG 
단어(4702) : 밸런타인데이		품사 : NNG 
단어(4703) : 상승		품사 : NNG 
단어(4704) : 별빛		품사 : NNG 
단어(4705) : 사악		품사 : NNG 
단어(4706) : 선뜻		품사 : MAG 
단어(4707) : 사안		품사 : NNG 
단어(4708) : 天下		품사 : SH 
단어(4709) : 협주곡		품사 : NNG 
단어(4710) : 病理的		품사 : SH 
단어(4711) : 상습		품사 : NNG 
단어(4712) : 혼찌검		품사 : NNG 
단어(4713) : 전시회장		품사 : NNG 
단어(4714) : 베스		품사 : NNP 
단어(4715) : 판매자		품사 : NNG 
단어(4716) : 祭日		품사 : SH 
단어(4717) : 예술대		품사 : NNG 
단어(4718) : 그제서야		품사 : MAG 
단어(4719) : 古小說		품사 : SH 
단어(4720) : 동성동본		품사 : NNG 
단어(4721) : 농악대		품사 : NNG 
단어(4722) : 전통문화		품사 : NNG 
단어(4723) : 제정구		품사 : NNP 
단어(4724) : 선거비		품사 : NNG 
단어(4725) : 몸부림		품사 : NNG 
단어(4726) : 삼위일체		품사 : NNG 
단어(4727) : 체크		품사 : NNG 
단어(4728) : 독학		품사 : NNG 
단어(4729) : 상시		품사 : NNG 
단어(4730) : 상식		품사 : NNG 
단어(4731) : 밥통		품사 : NNG 
단어(4732) : 해설		품사 : NNG 
단어(4733) : 저리하		품사 : VV 
단어(4734) : 특산물		품사 : NNG 
단어(4735) : 출두		품사 : NNG 
단어(4736) : 예술단		품사 : NNG 
단어(4737) : 가옥		품사 : NNG 
단어(4738) : 사암		품사 : NNG 
단어(4739) : 해석		품사 : NNG 
단어(4740) : 도합		품사 : NNG 
단어(4741) : 시사점		품사 : NNG 
단어(4742) : 탈퇴		품사 : NNG 
단어(4743) : 중선		품사 : NNG 
단어(4744) : 良人		품사 : SH 
단어(4745) : 냄새나		품사 : VV 
단어(4746) : 피정		품사 : NNG 
단어(4747) : 날뛰		품사 : VV 
단어(4748) : 재야인사		품사 : NNG 
단어(4749) : 지갑		품사 : NNG 
단어(4750) : 술기운		품사 : NNG 
단어(4751) : 겹치마		품사 : NNG 
단어(4752) : 체너리		품사 : NNP 
단어(4753) : 핀잔		품사 : NNG 
단어(4754) : 상심		품사 : NNG 
단어(4755) : 더라는		품사 : ETM 
단어(4756) : 外債		품사 : SH 
단어(4757) : 개식		품사 : NNG 
단어(4758) : 以金繪雲霞二十八		품사 : SH 
단어(4759) : IBM		품사 : SL 
단어(4760) : 개시		품사 : NNG 
단어(4761) : 각오		품사 : NNG 
단어(4762) : 타파		품사 : NNG 
단어(4763) : 본령		품사 : NNG 
단어(4764) : 돌풍		품사 : NNG 
단어(4765) : 지각		품사 : NNG 
단어(4766) : 중성		품사 : NNG 
단어(4767) : 지가		품사 : NNG 
단어(4768) : 상실		품사 : NNG 
단어(4769) : 중세		품사 : NNG 
단어(4770) : 복지회		품사 : NNG 
단어(4771) : 발판		품사 : NNG 
단어(4772) : 보루		품사 : NNG 
단어(4773) : 발파		품사 : NNG 
단어(4774) : 以靑羅爲之		품사 : SH 
단어(4775) : 충당		품사 : NNG 
단어(4776) : 천주교		품사 : NNG 
단어(4777) : 내려뜨리		품사 : VV 
단어(4778) : 거룩		품사 : XR 
단어(4779) : 간염		품사 : NNG 
단어(4780) : 번영		품사 : NNG 
단어(4781) : 번역		품사 : NNG 
단어(4782) : 海外		품사 : SH 
단어(4783) : 객실		품사 : NNG 
단어(4784) : 쓸쓸히		품사 : MAG 
단어(4785) : 金尺正副章		품사 : SH 
단어(4786) : 大人		품사 : SH 
단어(4787) : 엎질러지		품사 : VV 
단어(4788) : 지침서		품사 : NNG 
단어(4789) : 用靑綺		품사 : SH 
단어(4790) : 가물거리		품사 : VV 
단어(4791) : 애도		품사 : NNG 
단어(4792) : 설레이		품사 : VV 
단어(4793) : 사양		품사 : NNG 
단어(4794) : 미흡		품사 : XR NNG 
단어(4795) : 사업		품사 : NNG 
단어(4796) : 가요		품사 : NNG 
단어(4797) : 해소		품사 : NNG 
단어(4798) : 중소		품사 : NNG 
단어(4799) : 식모살이		품사 : NNG 
단어(4800) : 위반범		품사 : NNG 
단어(4801) : 타락상		품사 : NNG 
단어(4802) : 걸레		품사 : NNG 
단어(4803) : 배타		품사 : NNG 
단어(4804) : 베로나		품사 : NNP 
단어(4805) : 최형우		품사 : NNP 
단어(4806) : 산악		품사 : NNG 
단어(4807) : 皆織成		품사 : SH 
단어(4808) : 구약성서		품사 : NNP 
단어(4809) : 조부모		품사 : NNG 
단어(4810) : 양극		품사 : NNG 
단어(4811) : 득도		품사 : NNG 
단어(4812) : 퇴근		품사 : NNG 
단어(4813) : 판매점		품사 : NNG 
단어(4814) : 基督敎		품사 : SH 
단어(4815) : 아라		품사 : EF EC 
단어(4816) : 앙등		품사 : NNG 
단어(4817) : 은행원		품사 : NNG 
단어(4818) : 흥사단		품사 : NNP 
단어(4819) : 토로		품사 : NNG 
단어(4820) : 偏愛		품사 : SH 
단어(4821) : 禮治主義		품사 : SH 
단어(4822) : 냅다		품사 : MAG 
단어(4823) : 앞두		품사 : VV 
단어(4824) : 忘憂草		품사 : SH 
단어(4825) : 즐거워하		품사 : VV 
단어(4826) : 허락		품사 : NNG 
단어(4827) : 선량		품사 : XR 
단어(4828) : 홍경래		품사 : NNP 
단어(4829) : 完蓋		품사 : SH 
단어(4830) : 보슈맹		품사 : NNP 
단어(4831) : 합심		품사 : NNG 
단어(4832) : 벳사이다		품사 : NNP 
단어(4833) : 노인봉		품사 : NNP 
단어(4834) : 배태		품사 : NNG 
단어(4835) : 옥순이		품사 : NNP 
단어(4836) : 이큅먼트		품사 : NNG 
단어(4837) : 반포		품사 : NNG NNP 
단어(4838) : 양반가		품사 : NNG 
단어(4839) : 개살구		품사 : NNG 
단어(4840) : 아래		품사 : NNG 
단어(4841) : 그랏츠		품사 : NNP 
단어(4842) : 아랍		품사 : NNP 
단어(4843) : 산야		품사 : NNG 
단어(4844) : 지게		품사 : NNG 
단어(4845) : 초월		품사 : NNG 
단어(4846) : 필자		품사 : NNG 
단어(4847) : 서로		품사 : MAG NNG 
단어(4848) : 주거비		품사 : NNG 
단어(4849) : 高		품사 : SH 
단어(4850) : 상당히		품사 : MAG 
단어(4851) : 토론		품사 : NNG 
단어(4852) : 농경제학		품사 : NNG 
단어(4853) : 브레이크		품사 : NNG 
단어(4854) : 사연		품사 : NNG 
단어(4855) : 백태		품사 : NNG 
단어(4856) : 조합		품사 : NNG 
단어(4857) : 지겹		품사 : VA 
단어(4858) : 사오		품사 : EP 
단어(4859) : 사각지대		품사 : NNG 
단어(4860) : 사옥		품사 : NNG 
단어(4861) : 지경		품사 : NNB 
단어(4862) : 조항		품사 : NNG 
단어(4863) : 평론사		품사 : NNG 
단어(4864) : 제작비		품사 : NNG 
단어(4865) : 동편		품사 : NNG 
단어(4866) : 껍데기		품사 : NNG 
단어(4867) : 노라고		품사 : EF EC 
단어(4868) : 평상복		품사 : NNG 
단어(4869) : 병인양요		품사 : NNP 
단어(4870) : 필재		품사 : NNP 
단어(4871) : 보류		품사 : NNG 
단어(4872) : 轉禍爲福		품사 : SH 
단어(4873) : 고갯짓		품사 : NNG 
단어(4874) : 현진영		품사 : NNP 
단어(4875) : 어김없이		품사 : MAG 
단어(4876) : 더란다		품사 : EF 
단어(4877) : 최복		품사 : NNG 
단어(4878) : 거름		품사 : NNG 
단어(4879) : 나들이		품사 : NNG 
단어(4880) : 직경		품사 : NNG 
단어(4881) : 보름		품사 : NNG 
단어(4882) : 음란물		품사 : NNG 
단어(4883) : 바이에른		품사 : NNP 
단어(4884) : 사와		품사 : NNP 
단어(4885) : 산업		품사 : NNG 
단어(4886) : 단도박		품사 : NNP 
단어(4887) : 가위		품사 : NNG 
단어(4888) : 거르		품사 : VV 
단어(4889) : 직결		품사 : NNG 
단어(4890) : 玉事件十		품사 : SH 
단어(4891) : 위정자		품사 : NNG 
단어(4892) : 金龍文		품사 : SH 
단어(4893) : 앞뒤		품사 : NNG 
단어(4894) : 쌍쌍이		품사 : MAG 
단어(4895) : 若惑於風水		품사 : SH 
단어(4896) : 하얗		품사 : VA 
단어(4897) : 산역		품사 : NNG 
단어(4898) : 동포		품사 : NNG 
단어(4899) : 필적		품사 : NNG 
단어(4900) : 고객		품사 : NNG 
단어(4901) : 고개		품사 : NNG 
단어(4902) : 거리		품사 : NNG NNB 
단어(4903) : 철폐		품사 : NNG 
단어(4904) : 새싹		품사 : NNG 
단어(4905) : 교통사고		품사 : NNG 
단어(4906) : 색시		품사 : NNG 
단어(4907) : 판막증		품사 : NNG 
단어(4908) : 감안		품사 : NNG 
단어(4909) : 안락		품사 : NNG 
단어(4910) : 조만간		품사 : MAG 
단어(4911) : 보리		품사 : NNG 
단어(4912) : 신산리		품사 : NNP 
단어(4913) : 되찾		품사 : VV 
단어(4914) : 주간지		품사 : NNG 
단어(4915) : 향배		품사 : NNG 
단어(4916) : 중순		품사 : NNG 
단어(4917) : 로저		품사 : NNP 
단어(4918) : 고가		품사 : NNG 
단어(4919) : 진거		품사 : NNG 
단어(4920) : 옥스퍼드		품사 : NNP 
단어(4921) : 건교부		품사 : NNG 
단어(4922) : 직계		품사 : NNG 
단어(4923) : 고갈		품사 : NNG 
단어(4924) : 향방		품사 : NNG 
단어(4925) : 중수		품사 : NNG 
단어(4926) : 사이공		품사 : NNP 
단어(4927) : 본궤도		품사 : NNG 
단어(4928) : 법안		품사 : NNG 
단어(4929) : 고갱		품사 : NNP 
단어(4930) : 헐뜯		품사 : VV 
단어(4931) : 중머슴		품사 : NNG 
단어(4932) : 충동		품사 : NNG 
단어(4933) : 인류학자		품사 : NNG 
단어(4934) : 초의		품사 : NNP 
단어(4935) : 거만		품사 : NNG 
단어(4936) : 가을		품사 : NNG 
단어(4937) : 오슬로		품사 : NNP 
단어(4938) : 가은		품사 : NNP 
단어(4939) : 1751		품사 : SN 
단어(4940) : 난로		품사 : NNG 
단어(4941) : 무인도		품사 : NNG 
단어(4942) : 지관		품사 : NNG 
단어(4943) : 충돌		품사 : NNG 
단어(4944) : 魚		품사 : SH 
단어(4945) : 李立三		품사 : SH 
단어(4946) : 냉담		품사 : NNG 
단어(4947) : 그란테		품사 : NNP 
단어(4948) : 진경		품사 : NNG 
단어(4949) : 힐끗힐끗		품사 : MAG 
단어(4950) : 사용		품사 : NNG 
단어(4951) : 초임		품사 : NNG 
단어(4952) : 서양식		품사 : NNG 
단어(4953) : 섬뜩		품사 : MAG 
단어(4954) : 1770		품사 : SN 
단어(4955) : 초인		품사 : NNG 
단어(4956) : 보유고		품사 : NNG 
단어(4957) : 생산		품사 : NNG 
단어(4958) : 慧修		품사 : SH 
단어(4959) : 건륭		품사 : NNP 
단어(4960) : 순이익		품사 : NNG 
단어(4961) : 상호주의		품사 : NNG 
단어(4962) : 내외분		품사 : NNG 
단어(4963) : 두어		품사 : MM 
단어(4964) : 천품		품사 : NNG 
단어(4965) : 1762		품사 : SN 
단어(4966) : 생사		품사 : NNG 
단어(4967) : 라틴어		품사 : NNP 
단어(4968) : 보스니아		품사 : NNP 
단어(4969) : 최세창		품사 : NNP 
단어(4970) : 하나회		품사 : NNP 
단어(4971) : 성균관대		품사 : NNP 
단어(4972) : 알뜰		품사 : XR 
단어(4973) : 설레		품사 : VV 
단어(4974) : 지존무상		품사 : NNP 
단어(4975) : 軍備		품사 : SH 
단어(4976) : 얘기		품사 : NNG 
단어(4977) : Competition		품사 : SL 
단어(4978) : 기념비		품사 : NNG 
단어(4979) : 오까네		품사 : NNG 
단어(4980) : 각인		품사 : NNG 
단어(4981) : 날렵		품사 : XR 
단어(4982) : 로조		품사 : NNP 
단어(4983) : 초장		품사 : NNG 
단어(4984) : 히로시마		품사 : NNP 
단어(4985) : ZONE		품사 : SL 
단어(4986) : 악령		품사 : NNG 
단어(4987) : 되돌아오		품사 : VV 
단어(4988) : 설령		품사 : MAG 
단어(4989) : 좌회전		품사 : NNG 
단어(4990) : 가입		품사 : NNG 
단어(4991) : 생색		품사 : NNG 
단어(4992) : 학업		품사 : NNG 
단어(4993) : 言文		품사 : SH 
단어(4994) : 유색석		품사 : NNG 
단어(4995) : 체통		품사 : NNG 
단어(4996) : 더라니		품사 : EC 
단어(4997) : 벽사		품사 : NNG 
단어(4998) : 어재식		품사 : NNP 
단어(4999) : 내려다보		품사 : VV 
단어(5000) : 사우		품사 : NNG 
단어(5001) : 경남		품사 : NNP 
단어(5002) : 張明夫		품사 : SH 
단어(5003) : IMF		품사 : SL 
단어(5004) : 서류		품사 : NNG 
단어(5005) : 큰언니		품사 : NNG 
단어(5006) : 진공		품사 : NNG 
단어(5007) : 전화번호		품사 : NNG 
단어(5008) : 법어		품사 : NNG 
단어(5009) : 날로		품사 : MAG 
단어(5010) : 최양업		품사 : NNP 
단어(5011) : 학무과장		품사 : NNG 
단어(5012) : 학연		품사 : NNG 
단어(5013) : 한양		품사 : NNP 
단어(5014) : 가장		품사 : MAG NNG 
단어(5015) : 송파구		품사 : NNP 
단어(5016) : 하영		품사 : NNP 
단어(5017) : 지구		품사 : NNG 
단어(5018) : 오케스트레이션		품사 : NNG 
단어(5019) : 金壽煥		품사 : SH 
단어(5020) : 생생		품사 : XR 
단어(5021) : 각자		품사 : MAG NNG 
단어(5022) : 내시경		품사 : NNG 
단어(5023) : 한약		품사 : NNG 
단어(5024) : 사원		품사 : NNG 
단어(5025) : 조형		품사 : NNG 
단어(5026) : 분계선		품사 : NNG 
단어(5027) : 사위		품사 : NNG 
단어(5028) : 본부장		품사 : NNG 
단어(5029) : 성지배론		품사 : NNG 
단어(5030) : 서른		품사 : NR 
단어(5031) : 선생안		품사 : NNG 
단어(5032) : 오스마		품사 : NNP 
단어(5033) : 보시끼		품사 : NNG 
단어(5034) : 나르		품사 : VV 
단어(5035) : 배신행위		품사 : NNG 
단어(5036) : 은성학원		품사 : NNP 
단어(5037) : 건만		품사 : EC 
단어(5038) : 범어사		품사 : NNP 
단어(5039) : 냐는		품사 : ETM 
단어(5040) : 每榴首		품사 : SH 
단어(5041) : 조혼		품사 : NNG 
단어(5042) : 하오		품사 : NNG 
단어(5043) : 총알		품사 : NNG 
단어(5044) : 발표		품사 : NNG 
단어(5045) : 그럴싸		품사 : XR 
단어(5046) : 처하		품사 : VV 
단어(5047) : 서남쪽		품사 : NNG 
단어(5048) : 건립		품사 : NNG 
단어(5049) : 알랑		품사 : NNP 
단어(5050) : 조계사		품사 : NNP 
단어(5051) : 총아		품사 : NNG 
단어(5052) : 조황		품사 : NNG 
단어(5053) : 중심		품사 : NNG 
단어(5054) : 키신저		품사 : NNP 
단어(5055) : 간이		품사 : NNG 
단어(5056) : 박해		품사 : NNG 
단어(5057) : 걸르		품사 : VV 
단어(5058) : 사유		품사 : NNG 
단어(5059) : 씨발		품사 : IC 
단어(5060) : 생성		품사 : NNG 
단어(5061) : 소각		품사 : NNG 
단어(5062) : 사육		품사 : NNG 
단어(5063) : 뒷말		품사 : NNG 
단어(5064) : 하와		품사 : NNP 
단어(5065) : 중시		품사 : NNG 
단어(5066) : 生活		품사 : SH 
단어(5067) : 아뢰		품사 : VV 
단어(5068) : 강압		품사 : NNG 
단어(5069) : 農民指向性		품사 : SH 
단어(5070) : 나른		품사 : XR 
단어(5071) : 이규택		품사 : NNP 
단어(5072) : 産油		품사 : SH 
단어(5073) : 감염		품사 : NNG 
단어(5074) : 알랭		품사 : NNP 
단어(5075) : 나름		품사 : NNB 
단어(5076) : 공포감		품사 : NNG 
단어(5077) : 한나절		품사 : NNG 
단어(5078) : 생선		품사 : NNG 
단어(5079) : 총액		품사 : NNG 
단어(5080) : 조화		품사 : NNG 
단어(5081) : 臺座		품사 : SH 
단어(5082) : 가정		품사 : NNG 
단어(5083) : 감옥		품사 : NNG 
단어(5084) : 촌장		품사 : NNG 
단어(5085) : 질곡		품사 : NNG 
단어(5086) : 등단		품사 : NNG 
단어(5087) : 조회		품사 : NNG 
단어(5088) : 소개		품사 : NNG 
단어(5089) : 서리		품사 : VV NNG 
단어(5090) : 방패		품사 : NNG 
단어(5091) : 童蒙訓誨一人色掌一人		품사 : SH 
단어(5092) : 사이사이		품사 : NNG 
단어(5093) : 사은		품사 : NNG 
단어(5094) : 핵심		품사 : NNG 
단어(5095) : 번잡		품사 : XR 
단어(5096) : 만장일치		품사 : NNG 
단어(5097) : 방판		품사 : NNG 
단어(5098) : 초점		품사 : NNG 
단어(5099) : 새끼손가락		품사 : NNG 
단어(5100) : 산유국		품사 : NNG 
단어(5101) : 가전		품사 : NNG 
단어(5102) : 뒷맛		품사 : NNG 
단어(5103) : 피질		품사 : NNG 
단어(5104) : 햇살		품사 : NNG 
단어(5105) : 벽석		품사 : NNG 
단어(5106) : 버전		품사 : NNG 
단어(5107) : 한림대		품사 : NNP 
단어(5108) : 물샐틈없		품사 : VA 
단어(5109) : 한경연		품사 : NNP 
단어(5110) : 좌파		품사 : NNG 
단어(5111) : 若綱在有條而不紊		품사 : SH 
단어(5112) : 할애		품사 : NNG 
단어(5113) : 사모관대		품사 : NNG 
단어(5114) : 김정연		품사 : NNP 
단어(5115) : 소감		품사 : NNG 
단어(5116) : 좌판		품사 : NNG 
단어(5117) : 강약		품사 : NNG 
단어(5118) : 수창이		품사 : NNP 
단어(5119) : 관계없		품사 : VA 
단어(5120) : 지극		품사 : XR 
단어(5121) : 걸리		품사 : VV 
단어(5122) : 주어		품사 : NNG 
단어(5123) : 백남운		품사 : NNP 
단어(5124) : 천하		품사 : NNG VA 
단어(5125) : 냉동		품사 : NNG 
단어(5126) : 나마		품사 : JX EC 
단어(5127) : 난류		품사 : NNG 
단어(5128) : 香花		품사 : SH 
단어(5129) : 헐렁		품사 : XR 
단어(5130) : 소아과		품사 : NNG 
단어(5131) : 할양		품사 : NNG 
단어(5132) : 거목		품사 : NNG 
단어(5133) : 결단		품사 : NNG 
단어(5134) : 나말		품사 : NNG 
단어(5135) : 농사일		품사 : NNG 
단어(5136) : 각지석조		품사 : NNG 
단어(5137) : 토마		품사 : NNP 
단어(5138) : 토막		품사 : NNG 
단어(5139) : 간장		품사 : NNG 
단어(5140) : 사의		품사 : NNG 
단어(5141) : 고관		품사 : NNG 
단어(5142) : 진군		품사 : NNG 
단어(5143) : 늘어서		품사 : VV 
단어(5144) : 자민련		품사 : NNP 
단어(5145) : 김덕중		품사 : NNP 
단어(5146) : 純益		품사 : SH 
단어(5147) : IRA		품사 : SL 
단어(5148) : 진달래꽃		품사 : NNG 
단어(5149) : 한영		품사 : NNP 
단어(5150) : 스크럼		품사 : NNG 
단어(5151) : 사임		품사 : NNG 
단어(5152) : 반항		품사 : NNG 
단어(5153) : 하우		품사 : NNP 
단어(5154) : 행상		품사 : NNG 
단어(5155) : 김동률		품사 : NNP 
단어(5156) : 강력히		품사 : MAG 
단어(5157) : 반함		품사 : NNG 
단어(5158) : 반핵		품사 : NNG 
단어(5159) : 投資意慾		품사 : SH 
단어(5160) : 지급		품사 : NNG 
단어(5161) : 사이		품사 : NNG 
단어(5162) : 지금		품사 : MAG NNG 
단어(5163) : 사익		품사 : NNG 
단어(5164) : 볼링		품사 : NNG 
단어(5165) : 기관지		품사 : NNG 
단어(5166) : 사인		품사 : NNG 
단어(5167) : 기탄없이		품사 : MAG 
단어(5168) : 여선생		품사 : NNG 
단어(5169) : 격돌		품사 : NNG 
단어(5170) : 생소		품사 : XR 
단어(5171) : 반하		품사 : VV 
단어(5172) : 행사		품사 : NNG 
단어(5173) : 심심찮		품사 : VA 
단어(5174) : 이라고		품사 : JKQ 
단어(5175) : 서울대인		품사 : NNG 
단어(5176) : 凡干喪事聚會時		품사 : SH 
단어(5177) : 사장		품사 : NNG 
단어(5178) : 하원		품사 : NNG 
단어(5179) : 가족		품사 : NNG 
단어(5180) : 처형		품사 : NNG 
단어(5181) : 고교		품사 : NNG 
단어(5182) : 주역		품사 : NNG 
단어(5183) : 총검술		품사 : NNG 
단어(5184) : 센카쿠도		품사 : NNP 
단어(5185) : 마놀로		품사 : NNP 
단어(5186) : 居士戀		품사 : SH 
단어(5187) : 주연		품사 : NNG NNP 
단어(5188) : 강연		품사 : NNG 
단어(5189) : 추락		품사 : NNG 
단어(5190) : 초조		품사 : NNG 
단어(5191) : 걸맞		품사 : VA 
단어(5192) : 교육과장		품사 : NNG 
단어(5193) : 삭일		품사 : NNG 
단어(5194) : 찾아다니		품사 : VV 
단어(5195) : 上有翠盖		품사 : SH 
단어(5196) : 원활히		품사 : MAG 
단어(5197) : 갈이		품사 : NNG 
단어(5198) : 행색		품사 : NNG 
단어(5199) : 사자		품사 : NNG 
단어(5200) : 박준병		품사 : NNP 
단어(5201) : 트로이		품사 : NNP 
단어(5202) : 벌이		품사 : VV NNG 
단어(5203) : 삭이		품사 : VV 
단어(5204) : 서먹		품사 : XR 
단어(5205) : 난리		품사 : NNG 
단어(5206) : 석가모니		품사 : NNP 
단어(5207) : 外勢		품사 : SH 
단어(5208) : 韓美防衛同盟		품사 : SH 
단어(5209) : 열어젖히		품사 : VV 
단어(5210) : 동하		품사 : NNP 
단어(5211) : 뒷면		품사 : NNG 
단어(5212) : 학원		품사 : NNG 
단어(5213) : 稻作		품사 : SH 
단어(5214) : 사무국		품사 : NNG 
단어(5215) : 간절		품사 : XR 
단어(5216) : 스크랩		품사 : NNG 
단어(5217) : 경험자		품사 : NNG 
단어(5218) : 간접		품사 : NNG 
단어(5219) : 고국		품사 : NNG 
단어(5220) : 덕신국교		품사 : NNP 
단어(5221) : 본명		품사 : NNG 
단어(5222) : 반향		품사 : NNG 
단어(5223) : 충남도		품사 : NNP 
단어(5224) : 소계		품사 : NNG 
단어(5225) : 철학		품사 : NNG 
단어(5226) : 상반신		품사 : NNG 
단어(5227) : 집거		품사 : NNG 
단어(5228) : 난만		품사 : NNG 
단어(5229) : 경축일		품사 : NNG 
단어(5230) : 棕櫚		품사 : SH 
단어(5231) : 수사국		품사 : NNG 
단어(5232) : 소경		품사 : NNG 
단어(5233) : 보완책		품사 : NNG 
단어(5234) : 발하		품사 : VV 
단어(5235) : 동해		품사 : NNP 
단어(5236) : 질굿		품사 : NNG 
단어(5237) : 각종		품사 : NNG 
단어(5238) : 수돗물		품사 : NNG 
단어(5239) : 발바닥		품사 : NNG 
단어(5240) : 초대장		품사 : NNG 
단어(5241) : 하위		품사 : NNG 
단어(5242) : 이용훈		품사 : NNP 
단어(5243) : 난립		품사 : NNG 
단어(5244) : 방편		품사 : NNG 
단어(5245) : 훌륭히		품사 : MAG 
단어(5246) : 동댕이치		품사 : VV 
단어(5247) : 봉미법		품사 : NNG 
단어(5248) : 로즈		품사 : NNP 
단어(5249) : MIPS		품사 : SL 
단어(5250) : 내깔기		품사 : VV 
단어(5251) : 후원회		품사 : NNG 
단어(5252) : 사전		품사 : NNG 
단어(5253) : 서면		품사 : NNP NNG 
단어(5254) : 타워호텔		품사 : NNP 
단어(5255) : 호감		품사 : NNG 
단어(5256) : 생수		품사 : NNG 
단어(5257) : 생숙		품사 : NNG 
단어(5258) : 사절		품사 : NNG 
단어(5259) : 동행		품사 : NNG 
단어(5260) : 한울		품사 : NNG 
단어(5261) : 경계선		품사 : NNG 
단어(5262) : 호강		품사 : NNG 
단어(5263) : 복무		품사 : NNG 
단어(5264) : 군사력		품사 : NNG 
단어(5265) : 법원		품사 : NNG 
단어(5266) : 술자리		품사 : NNG 
단어(5267) : 사적		품사 : NNG 
단어(5268) : 서양인		품사 : NNG 
단어(5269) : 한우		품사 : NNG 
단어(5270) : 볼메		품사 : VA 
단어(5271) : 뱅크		품사 : NNG 
단어(5272) : 학위		품사 : NNG 
단어(5273) : 오늘날		품사 : NNG 
